,% Change,52 Week Range,Change,Circulating Supply,Day Chart,Market Cap,Name,Price (Intraday),Sscore,Symbol,Total Volume All Currencies (24Hr),Unnamed: 0,Volume in Currency (24Hr),Volume in Currency (Since 0:00 UTC),cagr,currency,marketCap,period,price,returns,sharp_ratio,std,volitility
1922,-3.08%,,-3e-06,2.536B,,218681,NextDAO USD,8.6e-05,-6010.807953050638,NAX-USD,51101.0,172,51101.0,51101.0,-0.6887199297609198,USD,173705.0,3.126027397260274,6.688692519674078e-05,-0.8057525496281954,-0.03460354021502339,0.09240183902064016,23.28526343320132
1923,+0.97%,,4.6e-05,46.238M,,218553,Nerve Finance USD,0.004727,-10681.587986111628,NRV-USD,48306.0,173,48306.0,48306.0,-0.8768092741215382,USD,160969.0,2.4876712328767123,0.003481348045170307,-1.4457353970809046,-0.06635804400916716,0.08645591219836093,21.786889873986954
1924,-1.03%,,-0.0,12.001B,,218284,Zenswap Network Token USD,1.8e-05,,ZNT-USD,0.0,174,0.0,0.0,-0.07551102734007109,USD,0.0,4.887671232876713,1.6351219528587535e-05,,,,
1925,+0.20%,,0.000117,3.63M,,218149,GTONCapital USD,0.060095,-1145.8590403164937,GTON-USD,1.0,175,1.0,1.0,-0.9505197068470135,USD,26710.0,2.2849315068493152,0.0073580052703619,-2.075500173461253,-0.04290000150941572,0.19198395127426157,48.379955721113916
1926,-1.03%,,-0.0,11.821B,,214997,Decentralized Asset Trading Platform USD,1.8e-05,,DATP-USD,0.0,176,0.0,0.0,0.10596309014276595,USD,0.0,4.882191780821918,1.6351219528587535e-05,,,,
1927,+1.01%,,3.9e-05,54.913M,,214780,Sator USD,0.003911,-7219.270440835945,SAO-USD,10160.0,177,10160.0,10160.0,-0.9461606435505684,USD,63988.0,1.8082191780821917,0.0011652630055323243,-2.0172085966510047,-0.11282225481083867,0.07095050557070907,17.879527403818688
1928,-1.89%,,-0.000396,10.38M,,213077,The HUSL USD,0.020528,-9648.86142221802,HUSL11448-USD,11825.0,178,11825.0,11825.0,-0.9492825063202741,USD,128635.0,1.9315068493150684,0.01239272765815258,-2.0584494931405968,-0.07500961186471816,0.10889871533181056,27.44247626361626
1929,+98.92%,,4.1e-05,2.569B,,211235,BeatzCoin USD,8.2e-05,-562.3346538542952,BTZC-USD,173.0,179,173.0,173.0,-0.6322043710781745,USD,66626.0,3.83013698630137,2.5938497856259346e-05,-0.6905682699187915,-0.008440168310483822,0.32467957707094997,81.8192534218794
1930,-0.81%,,-4.7e-05,36.645M,,210403,Blue Protocol USD,0.005742,-0.0,BLUE-USD,9.0,180,9.0,9.0,-0.1900802570215604,USD,0.0,5.8191780821917805,0.004645927809178829,-0.14555252049251943,-0.0017561339459586701,0.3288982417104308,82.88235691102857
1931,-4.78%,,-3.1e-05,344.426M,,209919,Golos Blockchain USD,0.000609,-6000.314891473009,GLS-USD,42.0,181,42.0,42.0,-0.29535200442152987,USD,529306.0,3.4821917808219176,0.0014729505637660623,-0.2416831185583965,-0.01133619284775349,0.08460159483520162,21.319601898470808
1932,+0.01%,,0.0,279.798M,,207921,Birdchain USD,0.000743,-219.2677376981824,BIRD-USD,44148.0,182,44148.0,44148.0,-0.10069409733256618,USD,206819.0,4.090410958904109,0.0007391764665953815,-0.07327471830031937,-0.0010601914606403783,0.2742643215521667,69.114609031146
1933,-1.09%,,-0.0,20B,,207134,BUZZCoin USD,1e-05,-0.0,BUZZ-USD,10.0,183,10.0,10.0,-0.46375045611255294,USD,0.0,5.8191780821917805,9.44857583817793e-06,-0.43023349628370505,-0.005547936937292695,0.30773164839482026,77.5483753954947
1934,-7.72%,,-2.6e-05,660.755M,,204960,eosDAC USD,0.00031,-0.0,EOSDAC-USD,13348.0,184,13348.0,13348.0,-0.6758148358922171,USD,0.0,5.383561643835616,0.00018673429440241307,-0.777706818992291,-0.017414313014004524,0.17721848505436125,44.659058233699035
1935,-0.70%,,-4.2e-05,34.011M,,204707,DinoX USD,0.006019,-22574.805914201683,DNXC-USD,136236.0,185,136236.0,136236.0,-0.8902885797497366,USD,175380.0,2.0986301369863014,0.00515655567869544,-1.5257404296187658,-0.12871938598586888,0.04703662519820334,11.853229549947242
1936,-0.34%,,-9e-06,79.937M,,204187,ASPO World USD,0.002554,-25133.096838487345,ASPO-USD,182.0,186,182.0,182.0,-0.9665601296994131,USD,204906.0,1.8027397260273972,0.0025633517652750015,-2.346020835821147,-0.12265671497412152,0.07589968876402671,19.12672156853473
1937,+0.01%,,1e-06,37.43M,,203377,Falconswap USD,0.005434,-4285.209523738214,FSW-USD,0.0,187,0.0,0.0,-0.7459963752567755,USD,154094.0,2.936986301369863,0.004116999916732311,-0.9461438324343784,-0.02780906150621188,0.1350113529274645,34.022860937721056
1938,+27.53%,,0.000227,192.381M,,202613,Goons of Balatroon USD,0.001053,-17561.842517433914,GOB-USD,51853.0,188,51853.0,51853.0,-0.9779560337355466,USD,188259.0,1.0082191780821919,0.0009785776492208242,-2.6337219754535597,-0.09328554022614544,0.11203534497452645,28.232906933580665
1939,-5.18%,,-0.000177,62.2M,,202003,Delphy USD,0.003248,-0.0,DPY-USD,11112.0,189,11112.0,11112.0,-0.6373209446546967,USD,0.0,5.8191780821917805,0.002216945169493556,-0.7002403265104021,-0.030669037983279822,0.09060380230776294,22.83215818155626
1940,+41.11%,,0.005876,9.999M,,201678,Golff USD,0.020169,-9608.024726526071,GOF-USD,49686.0,190,49686.0,49686.0,-0.8813265331352822,USD,137035.0,2.96986301369863,0.013704412616789341,-1.4715277874435158,-0.07011365509925253,0.08328471784351414,20.987748896565563
1941,-4.81%,,-1.9e-05,522.406M,,201286,Decentralized Vulnerability Platform USD,0.000385,-0.0,DVP-USD,61744.0,191,61744.0,61744.0,-0.6836798880514374,USD,0.0,3.9808219178082194,0.0002536779793445021,-0.7946634042300579,-0.02664123417981532,0.11836637094130278,29.828325477208303
1942,-5.15%,,-7e-05,155.456M,,200181,DinoSwap USD,0.001288,-6351.580100125201,DINO10777-USD,17334.0,192,17334.0,17334.0,-0.9804127868515449,USD,115025.0,2.115068493150685,0.0007399244350381196,-2.715302289423326,-0.05521912714736102,0.1951318255404214,49.173220036186194
1943,-2.65%,,-0.000581,9.359M,,199549,ETHA Lend USD,0.021321,-7309.847319957371,ETHA-USD,61618.0,193,61618.0,61618.0,-0.9019649955636113,USD,98471.0,2.493150684931507,0.010539333336055279,-1.6034315899789968,-0.0742335034675932,0.08571363969822102,21.599837203951697
1944,-0.20%,,-1e-06,629.281M,,199303,HashBX USD,0.000317,-1264.012459456877,HBX-USD,50.0,194,50.0,50.0,-0.5975200519817047,USD,194128.0,4.512328767123288,0.00030849326867610216,-0.6283499191563103,-0.006511232070885585,0.38294627391540004,96.5024610266808
1945,-4.96%,,-0.000615,16.809M,,198124,Arqma USD,0.011787,-842.6232210678186,ARQ-USD,138.0,195,138.0,138.0,-0.15325321260768343,USD,222826.0,4.126027397260274,0.013047000393271446,-0.11485233560769884,-0.003781530077584387,0.12052349900377511,30.37192174895133
1946,-1.03%,,-0.0,10.89B,,198070,Inex Project USD,1.8e-05,219.34793891319424,INEX-USD,13.0,196,13.0,13.0,0.4790213414241953,USD,178064.0,3.0273972602739727,1.6351219528587535e-05,0.27168869723941586,0.001231848879690416,0.8752126731819692,220.55359364185622
1947,+2.06%,,0.000216,18.419M,,196947,Bitcoin Atom USD,0.010693,-60983.20526645223,BCA-USD,0.0,197,0.0,0.0,-0.7911503900603551,USD,3220048.0,5.641095890410959,0.17482277750968933,-1.0818062136595261,-0.018938601308568143,0.22667364555026792,57.12175867866752
1948,-1.62%,,-3e-06,981.506M,,196613,Step® USD,0.0002,-4532.8612334357995,STEP17010-USD,208.0,198,208.0,208.0,-0.8269586625354794,USD,113525.0,1.6493150684931508,0.00011566437024157494,-1.2111360043086865,-0.039928308596659766,0.120368115357515,30.33276507009378
1949,-4.47%,,-0.001925,4.727M,,194492,FRAKT Token USD,0.041142,-3775.609163532669,FRKT-USD,1859.0,199,1859.0,1859.0,-0.6646415275289146,USD,160036.0,1.895890410958904,0.033853694796562195,-0.7543121193222098,-0.02359224901605057,0.1268765033281049,31.972878838682437
1950,-0.54%,,-1e-06,708.506M,,194215,Cryptonite USD,0.000274,-0.0,XCN-USD,7.0,200,7.0,7.0,-0.3308962047552003,USD,0.0,5.8191780821917805,0.00025938497856259346,-0.27741822581781905,-0.010327992091786012,0.10659051301395447,26.860809279516527
1951,-0.94%,,-0.000128,14.215M,,192746,Wonderman Nation USD,0.013559,-13944.526006158081,WNDR-USD,7314.0,201,7314.0,7314.0,-0.8563498839506494,USD,123651.0,1.3178082191780822,0.008698358200490475,-1.3396559473841827,-0.11277325703923204,0.04713967804843064,11.87919886820452
1952,-0.54%,,-9e-06,116.845M,,192177,DopeCoin USD,0.001645,-0.0,DOPE-USD,,202,,,-0.3752407448533116,USD,0.0,5.8191780821917805,0.0015563098713755608,-0.3247616482042254,-0.012031277822291702,0.1071155298928705,26.993113533003367
1953,+23.24%,,0.000364,99.632M,,192161,Argon USD,0.001929,-5055.2831290380545,ARGON-USD,188615.0,203,188615.0,188615.0,-0.742055229901526,USD,135214.0,2.4876712328767123,0.0013550797011703253,-0.9355136059269171,-0.037387275940642645,0.09929462593019439,25.022245734408987
1954,-0.29%,,-1.2e-05,48.319M,,191903,Chain of Legends USD,0.003972,-8576.950323286474,CLEG-USD,5604.0,204,5604.0,5604.0,-0.7729817034984158,USD,120553.0,1.1369863013698631,0.0020361426286399364,-1.0236893566627694,-0.07114671823419139,0.05709693226418086,14.388426930573576
1955,-10.56%,,-0.000466,48.61M,,191806,CryptoTanks USD,0.003946,-6353.277820079514,TANK-USD,279184.0,205,279184.0,279184.0,-0.9030286137251452,USD,103392.0,1.6931506849315068,0.0021269742865115404,-1.6109630448629642,-0.0614484468825394,0.10403371964319645,26.216497350085504
1956,-0.76%,,-0.000765,1.915M,,190389,GoldMint USD,0.09942,-0.0,MNTP-USD,3.0,206,3.0,3.0,-0.5549059833555505,USD,0.0,5.567123287671233,0.028270123526453972,-0.5588667833827654,-0.010619837130273382,0.2088285633460463,52.62479796320367
1957,-3.75%,,-3e-06,2.308B,,189830,UCA Coin USD,8.2e-05,-2180.316784501265,UCA-USD,5.0,207,5.0,5.0,-0.7492311925520991,USD,257465.0,3.372602739726027,0.00011153554078191519,-0.9549929047787277,-0.00846840069330303,0.4475053225858219,112.77134129162711
1958,+0.01%,,1e-06,41.6M,,189821,Dragon Kart USD,0.004563,-15785.046873560192,KART-USD,46.0,208,46.0,46.0,-0.9622518853381765,USD,189660.0,1.8082191780821917,0.004559139255434275,-2.2623522638668314,-0.08322812861731621,0.10786723788969166,27.182543948202298
1959,+10.39%,,0.000565,31.613M,,189778,Crown USD,0.006003,-0.0,CRW-USD,0.0,209,0.0,0.0,-0.6298169916774546,USD,0.0,5.8191780821917805,0.004635147750377655,-0.6861012607992645,-0.024972041118032293,0.10902689283274995,27.474776993852988
1960,+0.28%,,1e-05,54.165M,,189583,WagyuSwap USD,0.0035,-3118.712705894015,WAG-USD,10972.0,210,10972.0,10972.0,-0.9504280575843203,USD,47923.0,1.989041095890411,0.0008847668650560081,-2.0742225511434413,-0.06507757665200457,0.12648046059907014,31.873076070965677
1961,-7.97%,,-3.9e-05,420.407M,,189223,Soldex USD,0.00045,-6508.733223133722,SOLX-USD,83426.0,211,83426.0,83426.0,-0.974650204218203,USD,52458.0,1.7287671232876711,0.0001247798791155219,-2.5372496450422357,-0.12407513102165012,0.08114801805555184,20.449300549999066
1962,+19.35%,,3.9e-05,795.787M,,189210,Lethean USD,0.000238,-1175.280539416327,LTHN-USD,9.0,212,9.0,9.0,-0.4463662406041674,USD,160892.0,5.564383561643836,0.00020199999562464654,-0.4088106439552704,-0.007304779227160624,0.2220826132716044,55.964818544444306
1963,+2.01%,,1e-06,2.576B,,188323,Atlas Protocol USD,7.3e-05,-5194.08001710111,ATP-USD,10788.0,213,10788.0,10788.0,-0.6920858832674849,USD,130927.0,4.767123287671233,5.082447751192376e-05,-0.8132588025226477,-0.03967157283907147,0.08134836204803979,20.499787236106027
1964,-2.58%,,-5e-06,999.875M,,188100,PlayGame USD,0.000188,-0.0,PXG-USD,1483.0,214,1483.0,1483.0,-0.5357150028883013,USD,0.0,4.712328767123288,0.00012697602505795658,-0.5297224321757086,-0.015272301851420136,0.13763957548802194,34.68517302298153
1965,+0.01%,,0.0,670.781M,,187875,Cosmo Coin USD,0.00028,-0.0,COSM-USD,0.0,215,0.0,0.0,-0.7721713942977091,USD,0.0,5.090410958904109,1.5999999959603883e-05,-1.0212294215003912,-0.016346708340136167,0.2479090970514541,62.473092456966434
1966,-10.14%,,-7.9e-05,266.859M,,187370,Tachyon Protocol USD,0.000702,-4672.150815840143,IPX-USD,127741.0,216,127741.0,127741.0,-0.6983155730339302,USD,141667.0,3.6684931506849314,0.0005308707477524877,-0.827370371079965,-0.03297981051225863,0.0995522929712848,25.08717782876377
1967,-4.87%,,-7e-06,1.31B,,186822,MediShares USD,0.000143,-0.0,MDS-USD,10478.0,217,10478.0,10478.0,-0.6136978543402858,USD,0.0,5.726027397260274,0.00013077784387860447,-0.6566743414916386,-0.030345281208538404,0.0858733370624206,21.64008093972999
1968,-0.54%,,-6.1e-05,16.591M,,186458,Netko USD,0.011239,-0.0,NETKO-USD,3.0,218,3.0,3.0,-0.45153855092722395,USD,0.0,5.8191780821917805,0.005187699571251869,-0.4156657525372272,-0.0069059257249502026,0.2388481048983506,60.18972243438435
1969,-11.38%,,-0.000185,128.946M,,186024,Tokenplace USD,0.001443,-9308.545386305885,TOK12302-USD,6746.0,219,6746.0,6746.0,-0.9208169202468458,USD,113638.0,1.8273972602739725,0.000881000014487654,-1.750877112058923,-0.08191401983760613,0.08481973002456812,21.374571966191166
1970,-4.20%,,-0.000307,26.5M,,185871,Shadows USD,0.007014,-5705.509604822185,DOWS-USD,171160.0,220,171160.0,171160.0,-0.9183799410224082,USD,82808.0,2.506849315068493,0.003125001210719347,-1.7299490878277917,-0.06890046378154507,0.09963470426578926,25.10794547497889
1971,+3.30%,,0.00018,32.951M,,185734,OIN Finance USD,0.005637,-3631.2279307748818,OIN-USD,7134.0,221,7134.0,7134.0,-0.8588783200150382,USD,75871.0,3.0,0.0023025653790682554,-1.3519163317782785,-0.04786055186797171,0.11209121372285287,28.246985858158922
1972,+44.95%,,1.7e-05,3.306B,,185046,Ubex USD,5.6e-05,-3228.1863778423894,UBEX-USD,30.0,222,30.0,30.0,-0.6543256300085765,USD,193194.0,5.06027397260274,5.843293547513895e-05,-0.7333946156500832,-0.016709558153164123,0.17416954219692776,43.890724633625794
1973,-5.93%,,-0.000179,64.904M,,184589,Ninneko USD,0.002844,-8803.133178726383,NINO-USD,4518.0,223,4518.0,4518.0,-0.9371012526689203,USD,111805.0,1.8273972602739725,0.0017226171912625432,-1.9098348376472345,-0.07873648923327564,0.09625409701402325,24.25603244753386
1974,-0.73%,,-2e-06,709.902M,,184403,LiquidApps USD,0.00026,-3655.3204324887174,DAPP-USD,456.0,224,456.0,456.0,-0.417471653081916,USD,347114.0,4.186301369863013,0.0004889614065177739,-0.37308249995425186,-0.010530605024541555,0.14058889375105238,35.4284012252652
1975,-4.23%,,-9e-06,865.226M,,183722,Tidal Finance USD,0.000212,-9470.577080377643,TIDAL-USD,166806.0,225,166806.0,166806.0,-0.8925384292501396,USD,138644.0,2.4438356164383563,0.00016024131036829203,-1.5400458579017502,-0.06830859669641415,0.08946594400222131,22.545417888559772
1976,+29.53%,,0.000109,383.021M,,183198,Substratum USD,0.000478,-0.0,SUB-USD,0.0,226,0.0,0.0,-0.6576716685465482,USD,0.0,5.8191780821917805,0.00024176824081223458,-0.7401101703555245,-0.01933794767752047,0.1518747061185041,38.272425941863034
1977,+2.00%,,0.000157,22.935M,,182952,Terracoin USD,0.007977,-0.0,TRC-USD,1683.0,227,1683.0,1683.0,-0.11739988078271602,USD,0.0,8.967123287671233,0.01042433176189661,-0.08622062427956984,-0.002275005105547268,0.15039321608925885,37.899090454493226
1978,+1.38%,,1.4e-05,184.347M,,182719,BLink USD,0.000991,-3308.2066844339956,BLINK7784-USD,76.0,228,76.0,76.0,-0.6392666872683006,USD,132192.0,2.76986301369863,0.000717083050403744,-0.7039542947044211,-0.025025770730709843,0.1116237119523474,28.129175411991543
1979,-0.54%,,-6e-06,180M,,182563,Breezecoin USD,0.001014,-344.55795035780613,BRZE-USD,69.0,229,69.0,69.0,-0.8069536226771392,USD,42020.0,4.846575342465753,0.00023344648070633411,-1.2014864778797492,-0.008199856029457548,0.5814496579600565,146.52531380593425
1980,-0.54%,,-8.2e-05,12.051M,,181684,MODEL-X-coin USD,0.015077,-0.0,MODX-USD,1.0,230,1.0,1.0,-0.5241951085593897,USD,0.0,4.868493150684931,0.002853234764188528,-0.5128009451483256,-0.012058964237213029,0.16874785806475898,42.524460232319264
1981,-0.21%,,-0.0,"1,669.961T",,179766,Silva Token USD,0.0,,SILVA-USD,16.0,231,16.0,16.0,inf,USD,130653.0,1.8383561643835618,7.823740266754697e-11,inf,,,
1982,+0.01%,,0.0,895.103M,,179138,Elamachain USD,0.0002,-1025.5350453528433,ELAMA-USD,0.0,232,0.0,0.0,-0.803305888683165,USD,49914.0,4.545205479452055,4.999999873689376e-05,-1.1226810516090666,-0.020546040096022025,0.21683416937328853,54.64221068206871
1983,-1.46%,,-0.002358,1.123M,,179079,Mettalex USD,0.159465,-5496.523445682127,MTLX-USD,3217.0,233,3217.0,3217.0,-0.3421723272980467,USD,330302.0,2.904109589041096,0.2941240668296814,-0.2919064202959079,-0.016640902706257083,0.06960913305877915,17.541501530812347
1984,+0.71%,,3e-06,505.311M,,178856,Lead Wallet USD,0.000354,-1496.494064495369,LEAD-USD,11.0,234,11.0,11.0,-0.38132774127864355,USD,118279.0,2.9863013698630136,0.00023407235858030617,-0.33152126875832566,-0.012652238051516914,0.10397848862423907,26.202579133308245
1985,-0.54%,,-4.9e-05,19.643M,,177686,Motocoin USD,0.009046,0.0,MOTO-USD,13.0,235,13.0,13.0,0.08951394487190223,USD,0.0,5.8191780821917805,0.005706469528377056,0.059245874781242464,0.0011494770723548848,0.20453011491712336,51.54158895911509
1986,-9.68%,,-8.1e-05,232.179M,,176144,Safex Cash USD,0.000759,-895.8260146302728,SFX-USD,1032.0,236,1032.0,1032.0,-0.5633031957961145,USD,78071.0,3.8328767123287673,0.0002999433781951666,-0.5720166203208437,-0.011474504164546026,0.197821813556788,49.851097016310575
1987,-1.03%,,-0.0,9.665B,,175781,CrazyMiner USD,1.8e-05,0.0,PWR-USD,0.0,237,0.0,0.0,0.044518085241126215,USD,0.0,5.265753424657534,1.6351219528587535e-05,0.03046757543129133,0.00019357222117920048,0.6245889847819243,157.39642416504492
1988,-0.59%,,-1e-06,910.82M,,174692,Titan Coin USD,0.000192,-0.0,TTN-USD,0.0,238,0.0,0.0,-0.4825874764655056,USD,0.0,4.331506849315068,0.00017743260832503438,-0.4549220022037476,-0.0033804776645384115,0.5340209933727103,134.573290329923
1989,-3.47%,,-0.000123,51.133M,,174379,Stox USD,0.00341,-0.0,STX-USD,10420.0,239,10420.0,10420.0,-0.6649148565541303,USD,0.0,3.852054794520548,0.0031567716505378485,-0.7548750581297995,-0.013161594884425707,0.22759672906390546,57.35437572410417
1990,+1.49%,,0.000201,12.72M,,174340,Zero USD,0.013706,-698.2350596288422,ZER-USD,9.0,240,9.0,9.0,-0.44923141265068556,USD,90662.0,5.8191780821917805,0.007003394421190023,-0.4117890884026463,-0.007701518382881937,0.2121768205824895,53.46855878678735
1991,+0.08%,,7e-06,20.362M,,173573,NFTify USD,0.008524,-7635.1635825725325,N1-USD,3.0,241,3.0,3.0,-0.7865920817208029,USD,132870.0,2.2,0.006525000091642141,-1.0663741329782659,-0.057463412226782064,0.07364065621675943,18.557445366623377
1992,-1.03%,,-0.0,9.498B,,172752,Neural Protocol USD,1.8e-05,-0.0,NRP-USD,34.0,242,34.0,34.0,-0.07510633749996731,USD,0.0,4.9150684931506845,1.6351219528587535e-05,-0.05390487643683522,-0.000647575970806743,0.33032145952269765,83.24100779971981
1993,-4.22%,,-0.000126,59.902M,,171991,Creo Engine USD,0.002871,-16458.576911933742,CREO-USD,130893.0,243,130893.0,130893.0,-0.9482606898104061,USD,118965.0,1.3342465753424657,0.001185597269795835,-2.04467790002436,-0.1383480596136153,0.05864774116264042,14.779230772985386
1994,-4.77%,,-0.017348,495588,,171642,SnowSwap USD,0.34634,-6267.918201730061,SNOW-USD,10662.0,244,10662.0,10662.0,-0.8355108554089838,USD,118631.0,2.6136986301369864,0.23937395215034485,-1.2461301280086279,-0.05283541571537002,0.0935917841939598,23.58512961687787
1995,-9.27%,,-0.006307,2.75M,,169818,MetaverseX USD,0.061752,-5587.869906830284,METAX-USD,23038.0,245,23038.0,23038.0,-0.8869195773400796,USD,92207.0,1.8684931506849316,0.03352983295917511,-1.5048583948796395,-0.06060136331113998,0.09854003228412012,24.83208813559827
1996,+2.43%,,6e-08,62.82B,,169529,X-CASH USD,2.7e-06,-1708.3499856442834,XCASH-USD,57.0,246,57.0,57.0,-0.3476110763014578,USD,189992.0,4.945205479452055,3.0243838864407735e-06,-0.29488445290771,-0.008991694311572505,0.13013970002531983,32.7952044063806
1997,-4.41%,,-1e-06,10B,,169225,Hashgard USD,1.7e-05,-2551.4288184160882,GARD-USD,3977.0,247,3977.0,3977.0,-0.5372012788262209,USD,110504.0,5.131506849315069,1.1050451576011255e-05,-0.5319361310129869,-0.023089017758778762,0.09142258387961831,23.038491137663815
1998,-4.52%,,-3e-06,2.553B,,167957,BiblePay USD,6.6e-05,-0.0,BBP-USD,8.0,248,8.0,8.0,-0.3123976965827636,USD,0.0,5.8191780821917805,8.040934335440397e-05,-0.25858973478464153,-0.005318858970480584,0.19292666846479245,48.617520453127696
1999,+1.06%,,1.9e-05,94.44M,,167259,Autonio USD,0.001771,-0.0,NIOX-USD,13587.0,249,13587.0,13587.0,-0.43516823831117635,USD,0.0,5.8191780821917805,0.00122916791588068,-0.3943816287481514,-0.0077509181686375075,0.20191239660080418,50.881923943402654
2000,-2.10%,,-0.000197,18.191M,,167009,APYSwap USD,0.009181,-10379.512125223111,APYS-USD,9620,0,9620,9620,-0.8664772594747302,USD,138548.0,2.506849315068493,0.007616316433995962,-1.3901310564602998,-0.07491636202054963,0.07363402242728383,18.555773651675523
2001,-0.05%,,-0.0,171.719M,,166846,UGAS USD,0.000972,-0.0,UGAS-USD,71278,1,71278,71278,-0.7162483112773765,USD,0.0,4.3863013698630136,0.0009545277571305633,-0.869680140293792,-0.034068888477395295,0.10129804117684439,25.527106376564788
2002,-3.22%,,-3.3e-05,170.157M,,166788,Gamerse USD,0.00098,-9048.832278333448,LFG-USD,33811,2,33811,33811,-0.9353855131119945,USD,196685.0,1.8493150684931507,0.0011559039121493697,-1.8912542268544972,-0.04600672282244934,0.16312783502654393,41.108214426689074
2003,+0.00%,,0.0,181.305M,,166280,Rune Shards USD,0.000917,-15559.017933796766,RXS-USD,22,3,22,22,-0.9083699219760821,USD,120861.0,1.832876712328767,0.0006666220142506063,-1.6500792219744638,-0.12873481051618607,0.05086373603439843,12.817661480668404
2004,-0.29%,,-5e-06,92.148M,,165200,WeTrust USD,0.001793,-0.0,TRST-USD,2,4,2,2,-0.5836480199217953,USD,0.0,5.8191780821917805,0.0018332798499614,-0.6049548388175292,-0.014877143030169456,0.16136259730002447,40.663374519606165
2005,-0.54%,,-0.000596,1.5M,,164447,WinCash USD,0.109648,-292.1846827496758,WCC-USD,5,5,5,5,-0.901142435086162,USD,12944.0,3.536986301369863,0.008630729280412197,-1.59766287992727,-0.022572982289066425,0.2808637326701088,70.77766063286741
2006,-0.54%,,-1e-06,592.81M,,162500,Trollcoin USD,0.000274,-248.51551202505453,TROLL-USD,16,6,16,16,-0.13195809873974695,USD,153766.0,5.8191780821917805,0.00025938497856259346,-0.09962682523277006,-0.0016161928646453347,0.244614707330267,61.64290624722728
2007,-0.54%,,-1e-06,591.5M,,162141,DomRaider USD,0.000274,-994.5007637225824,DRT-USD,3,7,3,3,-0.5820821906070124,USD,153426.0,5.8191780821917805,0.00025938497856259346,-0.6204749837140237,-0.006481957189280711,0.37985476368113996,95.72340044764726
2008,-0.54%,,-1e-06,591.482M,,162136,Graft USD,0.000274,-1757.4876207467928,GRFT-USD,4,8,4,4,-0.6186789111964307,USD,160767.0,5.254794520547946,0.00027200000477023423,-0.6656345301746155,-0.010931892868230375,0.2416239252992119,60.8892291754014
2009,-21.97%,,-0.0,882.267T,,161851,YetiCoin USD,0.0,,YETIC-USD,1730,9,1730,1730,inf,USD,69868.0,1.7945205479452055,7.919222916319413e-11,inf,,,
2010,-0.67%,,-3.1e-05,34.732M,,161332,Alpha Token USD,0.004645,4.4597223993303405,A-USD,6,10,6,6,0.006254185868339146,USD,116935.0,4.3863013698630136,0.0033668261021375656,0.004304511841116847,3.8138473505198104e-05,0.4478783397709928,112.86534162229019
2011,-0.53%,,-2.3e-05,36.645M,,161112,Playcent USD,0.004397,-7386.025448613985,PCNT-USD,8463,11,8463,8463,-0.8637418231519977,USD,124399.0,2.495890410958904,0.003394695930182934,-1.3761297700997364,-0.059373672204872906,0.09197397126099469,23.17744075777066
2012,-13.40%,,-3e-06,7.325B,,160368,Nitro Network USD,2.2e-05,-1693.9501386568052,NCASH-USD,103195,12,103195,103195,-0.7994692271149613,USD,42162.0,5.52054794520548,5.755746769864345e-06,-1.1093437423256183,-0.04017717704702825,0.1095686165926621,27.61129138135085
2013,-3.27%,,-2.4e-05,228.283M,,159954,Coreto USD,0.000701,-2822.1547753036457,COR-USD,953,13,953,953,-0.6395288120072301,USD,122196.0,2.5561643835616437,0.0005352832959033549,-0.7044561601257932,-0.023095312246748222,0.12104018871941112,30.5021275572916
2014,-24.72%,,-0.046962,1.118M,,159914,Dev Protocol USD,0.143036,-1470.4796896868268,DEV-USD,100,14,100,100,-0.6156132411710322,USD,156438.0,3.0931506849315067,0.13992637395858765,-0.6601060939756376,-0.009399760222495984,0.27867398368507373,70.22584388863858
2015,-0.54%,,-1e-06,574.684M,,157531,BlueCoin USD,0.000274,-0.0,BLU-USD,4,15,4,4,-0.39525744238697136,USD,0.0,5.8191780821917805,0.00025938497856259346,-0.347243873704178,-0.011269436781817946,0.12227335815057455,30.812886253944786
2016,+0.23%,,0.0,5.007T,,156598,PolkaPets USD,3e-08,,PETS-USD,2151,16,2151,2151,inf,USD,133442.0,1.8684931506849316,2.6650633699887294e-08,,,,
2017,-0.67%,,-0.002649,400522,,156494,ChronoBase USD,0.390726,-3171.1660730540993,TIK-USD,0,17,0,0,-0.38214727659804093,USD,146106.0,1.9917808219178081,0.3647908866405487,-0.33243644031854436,-0.021704557465498334,0.06077950336390323,15.316434847703615
2018,-24.73%,,-0.000323,158.4M,,155575,TouchCon USD,0.000982,-570.4658228579249,TOC-USD,1964,18,1964,1964,-0.3352366138834936,USD,162689.0,4.038356164383561,0.0010270000202581286,-0.28191144170470317,-0.003506480603224096,0.31903675617434774,80.39726255593563
2019,-0.54%,,-1.5e-05,56.735M,,155522,Bitether USD,0.002741,-0.0,BTR-USD,,19,,,-0.07078589559107729,USD,0.0,4.991780821917808,0.0025938497856259346,-0.050687279387401786,-0.0019386192522135753,0.1037542556844965,26.14607243249312
2020,-3.60%,,-5.7e-05,101.862M,,155367,SakeToken USD,0.001525,-7658.692079093635,SAKE-USD,13990,20,13990,13990,-0.9111966685033037,USD,118969.0,2.978082191780822,0.0011679480085149407,-1.9107808759393408,-0.06437552706245858,0.11778488098518254,29.681790008266
