,% Change,52 Week Range,Change,Circulating Supply,Day Chart,Market Cap,Name,Price (Intraday),Sscore,Symbol,Total Volume All Currencies (24Hr),Unnamed: 0,Volume in Currency (24Hr),Volume in Currency (Since 0:00 UTC),cagr,currency,marketCap,period,price,returns,sharp_ratio,std,volitility
21,+0.93%,,0.0332,930.403M,,3.338B,UNUS SED LEO USD,3.5878,95511105.2135027,LEO-USD,608679,21,608679,608679,0.36047144172110146,USD,3611065600.0,4.2904109589041095,3.8852438926696777,0.21253009473128798,0.026449562481917446,0.03188609990684751,8.035297176525573
22,-0.53%,,-0.0346,517.1M,,3.337B,Chainlink USD,6.4528,74016151.82492349,LINK-USD,213.886M,22,213.886M,213.886M,0.7599327276734817,USD,3233227264.0,5.8191780821917805,6.008599281311035,0.39027245896575713,0.02289234433009021,0.06765144764817527,17.048164807340168
23,+5.28%,,0.54,286.37M,,3.113B,Cosmos USD,10.87,1054139.4048307308,ATOM-USD,173.238M,23,173.238M,173.238M,0.010321372646232119,USD,2477604096.0,4.476712328767123,6.833667755126953,0.007089464895833225,0.000425467251419466,0.06612212129565624,16.662774566505373
24,+3.03%,,0.1503,577.501M,,2.949B,Uniswap USD,5.107,-16698391.983937206,UNI7083-USD,68.95M,24,68.95M,68.95M,-0.13907226960538654,USD,2556167680.0,2.958904109589041,4.428422927856445,-0.10338539220576631,-0.00653258865394042,0.06280197860499893,15.82609860845973
25,-0.47%,,-0.73,18.277M,,2.825B,Monero USD,154.57,3503894.6676205164,XMR-USD,57.978M,25,57.978M,57.978M,0.026295848258643062,USD,2574421248.0,5.8191780821917805,140.47276306152344,0.017920345728194422,0.0013610416983400055,0.05224857044065799,13.166639751045814
26,+0.18%,,0.08,60M,,2.691B,OKB USD,44.85,92822045.49244818,OKB-USD,6.639M,26,6.639M,6.639M,1.119778219159191,USD,2517618432.0,4.347945205479452,41.96030807495117,0.5187136721672884,0.036868988688929405,0.055829781644743046,14.069104974475248
27,+1.10%,,0.2,140.891M,,2.625B,Ethereum Classic USD,18.63,1386013.7889442884,ETC-USD,133.375M,27,133.375M,133.375M,0.014076791799271904,USD,2201101056.0,5.8191780821917805,15.41367244720459,0.009651002006739939,0.0006296911198902666,0.06081970318645549,15.326565202986783
28,-1.03%,,-0.0204,1.221B,,2.407B,Toncoin USD,1.971,135069386.59552497,TON11419-USD,16.09M,28,16.09M,16.09M,0.6409305285562632,USD,6406730752.0,2.0191780821917806,1.8668216466903687,0.3419353316441201,0.021082419696404463,0.06436102953184396,16.21897944202468
29,-0.31%,,-0.00027,26.787B,,2.362B,Stellar USD,0.088171,26848975.421651796,XLM-USD,49.305M,29,49.305M,49.305M,0.20095977742910853,USD,3184427264.0,5.8191780821917805,0.11594808846712112,0.1264287808562443,0.008431335746047612,0.059504392476540525,14.995106904088212
30,-1.23%,,-0.0639,435.922M,,2.237B,Internet Computer USD,5.1325,-130041943.981286,ICP-USD,46.132M,30,46.132M,46.132M,-0.8784749652081955,USD,1431752320.0,2.317808219178082,3.2377402782440186,-1.4551342942981669,-0.0908271229351219,0.06357508914837882,16.020922465391465
31,-4.74%,,-5.66,19.388M,,2.203B,Bitcoin Cash USD,113.64,-34779877.34327557,BCH-USD,203.657M,31,203.657M,203.657M,-0.18801584005640293,USD,3791180032.0,5.8191780821917805,194.7242431640625,-0.1437949603021307,-0.009173892310497263,0.06219987138729802,15.6743675895991
32,-0.67%,,-0.13,107.405M,,2.147B,Cryptonex USD,19.99,0.0,CNX-USD,11.23M,32,11.23M,11.23M,4.166603763145563,USD,0.0,3.1013698630136988,19.137786865234375,1.1338036197194443,0.01611084952379378,0.2792665095982426,70.37516041875713
33,+0.02%,,0.000169,2.115B,,2.114B,TrueUSD USD,0.999503,-5108341.027472712,TUSD-USD,1.996B,33,1.996B,1.996B,-0.00238406541756242,USD,3442176256.0,5.498630136986302,0.9983801245689392,-0.0016479500829099556,-0.001484044002269915,0.0044065300260568005,1.1104455665663138
34,+0.68%,,0.0305,422.497M,,1.907B,Filecoin USD,4.5126,-9590854.380241005,FIL-USD,192.37M,34,192.37M,192.37M,-0.20142871092873194,USD,1414220800.0,5.726027397260274,3.172956943511963,-0.1552948526493602,-0.006781723462305889,0.09086914538766885,22.899024637692552
35,-1.61%,,-0.000865,31.341B,,1.654B,Wrapped HBAR USD,0.052782,-58719601.30311578,WHBAR-USD,103413,35,103413,103413,-0.3602169415946366,USD,1650668928.0,0.33424657534246577,0.049746692180633545,-0.3083555756057861,-0.035573215383815464,0.03439760008558592,8.668195221567652
36,-2.88%,,-0.001559,31.341B,,1.647B,Hedera USD,0.052543,-10047058.52743233,HBAR-USD,25.459M,36,25.459M,25.459M,-0.13990736152129513,USD,1646280064.0,3.9643835616438357,0.049614425748586655,-0.10405540944218333,-0.006102885376028176,0.06765951939047676,17.050198886400146
37,-1.63%,,-0.001067,25.263B,,1.628B,Cronos USD,0.064426,11341482.884886665,CRO-USD,9.338M,37,9.338M,9.338M,0.22141425472831067,USD,1273671424.0,4.723287671232876,0.050427548587322235,0.13808869030821241,0.008904559426534378,0.061538248782267435,15.507638693131394
38,-0.83%,,-0.0691,191.028M,,1.58B,Aptos USD,8.2684,-16564444.660995899,APT21794-USD,181.985M,38,181.985M,181.985M,-0.26514007344019996,USD,1265059840.0,0.873972602739726,5.531467437744141,-0.21269861440594157,-0.01309380326308983,0.06446118852555023,16.244219508438658
39,-3.80%,,-0.0707,878.759M,,1.573B,Lido DAO USD,1.7899,-1988697.072674151,LDO-USD,60.662M,39,60.662M,60.662M,-0.05119101963438211,USD,1360636672.0,2.66027397260274,1.5327285528182983,-0.036279567190249655,-0.0014615930274398418,0.0984997422445423,24.82193504562466
40,-0.63%,,-173.33,53221,,1.458B,Bitcoin BEP2 USD,27401.01,19584137.6092665,BTCB-USD,38.691M,40,38.691M,38.691M,0.2829502714478438,USD,1394386176.0,4.213698630136986,25893.4453125,0.17202439992882973,0.014044988358566816,0.048603565216749245,12.24809843462081
41,-1.53%,,-0.025,899.181M,,1.444B,NEAR Protocol USD,1.6057,-710438.5135993198,NEAR-USD,69.904M,41,69.904M,69.904M,-0.01729895764709566,USD,1061765568.0,2.8876712328767122,1.1275328397750854,-0.012047901078452921,-0.0006691105221443006,0.07145177019558442,18.005846089287274
42,-0.63%,,-0.007,1.275B,,1.424B,Arbitrum USD,1.1171,-64191938.29481343,ARB11841-USD,618.645M,42,618.645M,618.645M,-0.5906217008879808,USD,1136153088.0,0.44931506849315067,0.8911004066467285,-0.6166168072844583,-0.05649937404809785,0.043308304448038806,10.913692720905779
43,-0.44%,,-8.5e-05,72.715B,,1.39B,VeChain USD,0.019122,83506.04517457874,VET-USD,42.521M,43,42.521M,42.521M,0.0016977863209721722,USD,1122688768.0,5.087671232876712,0.015439677983522415,0.001171176359361211,7.438040493033483e-05,0.062483193522719645,15.745764767725351
44,-0.23%,,-0.25,12.073M,,1.274B,Quant USD,105.56,51337400.13171705,QNT-USD,18.788M,44,18.788M,18.788M,2.252121462754737,USD,1201426304.0,5.068493150684931,99.461181640625,0.8142068503341886,0.042730378018856034,0.0756131753244131,19.0545201817521
45,-1.91%,,-0.0628,368.594M,,1.192B,ApeCoin USD,3.2336,-32170864.40112312,APE18876-USD,98.603M,45,98.603M,98.603M,-0.7856449064304851,USD,501980736.0,1.463013698630137,1.3618807792663574,-1.0633166396884517,-0.06408784659243004,0.0658394797033573,16.591548885246038
46,-1.19%,,-0.001971,7.226B,,1.181B,Algorand USD,0.163494,-25972916.752072312,ALGO-USD,50.764M,46,50.764M,50.764M,-0.5680049360296231,USD,734556992.0,4.205479452054795,0.09383288770914078,-0.5794903052960167,-0.03535861347035182,0.06503548860827946,16.388943129286424
47,+0.23%,,0.002275,1.059B,,1.056B,Pax Dollar USD,0.997852,-149652.54222843552,USDP-USD,5.097M,47,5.097M,5.097M,-0.0004320592182031069,USD,485842848.0,4.936986301369863,0.9956205487251282,-0.00029836287900153957,-0.00030802664450961623,0.0038437573491814456,0.9686268519937243
48,+1.40%,,0.001592,8.954B,,1.029B,The Graph USD,0.114951,-11416889.828721775,GRT6719-USD,39.22M,48,39.22M,39.22M,-0.3311091272890637,USD,802010816.0,2.7095890410958905,0.0874122828245163,-0.27763796369202554,-0.014235331495481694,0.0773946115345838,19.503442106715116
49,-1.01%,,-0.003776,2.788B,,1.027B,Fantom USD,0.36848,8329653.171540098,FTM-USD,192.164M,49,192.164M,192.164M,0.5866542785939384,USD,561997568.0,4.846575342465753,0.20046848058700562,0.3187127345968251,0.014821511063087196,0.08533091318514266,21.50339012265595
50,+0.02%,,0.000153,1.004B,,1.002B,Frax USD,0.997708,1463383.5959854627,FRAX-USD,13.528M,50,13.528M,13.528M,0.004386677693242413,USD,805029504.0,2.684931506849315,0.9978998303413391,0.003021986946624758,0.0018178011969924802,0.006596987455391689,1.6624408387587057
51,-0.96%,,-0.008695,1.091B,,982.237M,EOS USD,0.900567,-3389720.5648307307,EOS-USD,129.898M,51,129.898M,129.898M,-0.11425007625357675,USD,642065984.0,5.8191780821917805,0.582868218421936,-0.08376108650441261,-0.005279395964435224,0.06295895707492305,15.865657182880609
52,-0.16%,,-0.51,3.114M,,968.053M,Wrapped BNB USD,310.88,20443486.71404694,WBNB-USD,199.552M,52,199.552M,199.552M,0.9828357205665066,USD,547144000.0,2.9287671232876713,214.10968017578125,0.47797107207265777,0.03736399688938733,0.05076305431343345,12.792289686985228
53,+0.35%,,0.13,25.397M,,958.206M,MultiversX USD,37.73,3327280.744029794,EGLD-USD,20.828M,53,20.828M,20.828M,0.12041028112066154,USD,643515200.0,2.9972602739726026,24.83511734008789,0.07849623300119,0.0051704773158890325,0.060244532384415066,15.181622160872596
54,-0.34%,,-0.001722,1.839B,,924.621M,The Sandbox USD,0.502817,10812402.280273529,SAND-USD,95.632M,54,95.632M,95.632M,0.6513902888243117,USD,627470848.0,3.0547945205479454,0.30386999249458313,0.3463222415559952,0.01723172050898774,0.07975376623781597,20.097949091929625
55,-1.67%,,-1.07,14.391M,,908.636M,Aave USD,63.14,22204568.568066377,AAVE-USD,49.563M,55,49.563M,49.563M,3.928913722853375,USD,791715200.0,2.9205479452054797,54.49330520629883,1.1012873784745152,0.02804615670896097,0.15582127901407594,39.26696231154714
56,+0.35%,,0.003175,1B,,906.514M,Theta Network USD,0.906514,5004676.38706251,THETA-USD,16.477M,56,16.477M,16.477M,0.23668566262644153,USD,605959296.0,5.63013698630137,0.6059592962265015,0.14666741646247655,0.00825909664246245,0.07046939666482127,17.75828795953496
57,-1.31%,,-0.62,19.402M,,901.015M,Rocket Pool USD,46.44,6225992.240242926,RPL-USD,8.241M,57,8.241M,8.241M,0.8159280298258258,USD,425559488.0,5.131506849315069,21.608179092407227,0.42226755678965266,0.014630133778718444,0.11453517331009876,28.862863674144887
58,-0.59%,,-0.002862,1.844B,,890.596M,BitDAO USD,0.483056,-0.0,BIT11221-USD,5.906M,58,5.906M,5.906M,-0.45447281904868986,USD,0.0,2.043835616438356,0.44792747497558594,-0.4183908688612767,-0.04136480058003016,0.040137537286751165,10.114659396261294
59,+1.09%,,0.006969,1.377B,,889.847M,Stacks USD,0.646402,4858416.201674816,STX4847-USD,117.504M,59,117.504M,117.504M,0.22164910966418838,USD,640842880.0,3.8493150684931505,0.4562895596027374,0.13822143055911648,0.007581290755192312,0.07234885958414092,18.231912615203512
60,+0.52%,,0.002416,1.878B,,870.916M,Decentraland USD,0.46368,9917679.373925412,MANA-USD,65.836M,60,65.836M,65.836M,0.6627781458745541,USD,552186304.0,5.8191780821917805,0.2916843295097351,0.3510669202916228,0.017960748577214643,0.07756484611879008,19.5463412219351
61,-0.02%,,-0.000177,937.406M,,841.674M,Tezos USD,0.897876,-4221337.360482284,XTZ-USD,18.156M,61,18.156M,18.156M,-0.14406017877838073,USD,656467520.0,5.8191780821917805,0.6901334524154663,-0.10739702005746153,-0.006430382664602026,0.06627578376753551,16.70149750941895
62,-0.56%,,-0.0387,116.956M,,797.675M,Axie Infinity USD,6.8203,25389607.74232316,AXS-USD,32.293M,62,32.293M,32.293M,2.3537308363594907,USD,631345600.0,2.83013698630137,4.482475757598877,0.8354479424090584,0.04021507038668387,0.0824384883790262,20.774499071514605
63,-1.54%,,-0.01194,1.036B,,790.307M,Flow USD,0.762697,-20244583.887770843,FLOW-USD,16.05M,63,16.05M,16.05M,-0.6569420067859408,USD,440939392.0,2.6,0.42553502321243286,-0.7386401478353658,-0.045912395796497224,0.06384140158468947,16.088033199341748
64,-2.57%,,-0.002834,6.976B,,748.406M,Chiliz USD,0.107288,4812595.440651989,CHZ-USD,81.13M,64,81.13M,81.13M,0.3504325450028345,USD,442213664.0,4.178082191780822,0.059743426740169525,0.20741667424420435,0.010882964124446386,0.07563031828826088,19.05884020864174
65,+0.02%,,0.000156,736.192M,,735.005M,USDD USD,0.998387,-7538930.325425416,USDD-USD,24.761M,65,24.761M,24.761M,-0.010810760159106536,USD,723219328.0,1.3397260273972602,0.9970514178276062,-0.007504505479372119,-0.010424127278613627,0.002856813127118942,0.7199169080339733
66,+0.93%,,0.0697,96.975M,,730.335M,KuCoin Token USD,7.5312,4964606.796700466,KCS-USD,2.032M,66,2.032M,2.032M,0.34793197420837463,USD,389386144.0,5.8191780821917805,4.0253705978393555,0.2061370680516981,0.012749829117444062,0.06415805504257403,16.167829870728657
67,-6.61%,,-0.005067,10.167B,,727.618M,Radix USD,0.071565,-11929286.421900958,XRD-USD,3.178M,67,3.178M,3.178M,-0.4158442832181446,USD,530073952.0,1.9616438356164383,0.051738616079092026,-0.371156434874973,-0.022504947426469576,0.0654452982104414,16.49221514903123
68,+0.27%,,0.000681,2.79B,,708.542M,Conflux USD,0.253929,1659001.3419493325,CFX-USD,161.947M,68,161.947M,161.947M,0.14916736936433672,USD,388026592.0,2.8109589041095893,0.12232006341218948,0.09599311967780313,0.004275483629609933,0.08909520210729317,22.45199093103788
69,-8.78%,,-3.44,19.266M,,688.154M,Bitcoin SV USD,35.72,-3902178.1207741825,BSV-USD,135.343M,69,135.343M,135.343M,-0.1556723136805106,USD,586022912.0,4.8191780821917805,30.417346954345703,-0.11682761825385232,-0.006658746681860422,0.06962296087947606,17.544986141627966
70,+2.01%,,0.00962,1.4B,,683.183M,Bitget Token USD,0.487988,36846576.83093106,BGB-USD,25.152M,70,25.152M,25.152M,1.2858868925106428,USD,599926720.0,2.0986301369863014,0.4285190999507904,0.5708000811597105,0.06141846262645388,0.03687945920948701,9.293623720790725
71,-2.26%,,-0.017126,914.164M,,677.848M,Immutable USD,0.741495,-25555085.09408263,IMX10603-USD,29.435M,71,29.435M,29.435M,-0.6521154708402752,USD,609072704.0,1.8246575342465754,0.542173445224762,-0.7289943454557133,-0.04195736391772801,0.0689470079641263,17.37464600695983
72,-0.84%,,-0.006915,814.066M,,665.563M,Curve DAO Token USD,0.817579,-13245510.105870338,CRV-USD,41.378M,72,41.378M,41.378M,-0.6586071397840727,USD,379292672.0,3.0547945205479454,0.435587614774704,-0.7419994199648969,-0.03492160825577547,0.08431576579039375,21.247572979179225
73,+1.05%,,0.098,70.539M,,665.187M,Neo USD,9.4301,-5868241.9522929285,NEO-USD,48.979M,73,48.979M,48.979M,-0.22873678159353905,USD,496448800.0,5.8191780821917805,7.03795051574707,-0.1793173763633496,-0.011820437379026655,0.06019886299582483,15.170113474947858
74,-3.28%,,-21.99,977631,,633.667M,Maker USD,648.17,11976586.11329744,MKR-USD,20.22M,74,20.22M,20.22M,0.2770789279743371,USD,1097385216.0,5.789041095890411,1122.494140625,0.16885752434326176,0.010913748370834113,0.06139682886911545,15.472000875017093
75,+0.20%,,0.0035,363.912M,,623.168M,Render Token USD,1.7124,15072035.812785521,RNDR-USD,192.155M,75,192.155M,192.155M,1.6790730655252761,USD,499977536.0,3.23013698630137,1.3443564176559448,0.6803798839259559,0.030145425999270337,0.08956317865186911,22.569921020271014
76,-17.59%,,-3.4e-07,391.79T,,619.351M,Pepe USD,1.58e-06,,PEPE24478-USD,478.984M,76,478.984M,478.984M,inf,USD,307242624.0,0.38082191780821917,7.842023137527576e-07,inf,,,
77,-0.55%,,-0.000583,5.851B,,614.898M,TNC Coin USD,0.10509,-1345127.6523571059,TNC5524-USD,62027,77,62027,62027,-0.2345778391549599,USD,635558976.0,3.334246575342466,0.10862058401107788,-0.18456601037585407,-0.002116448202530155,0.3460537338939911,87.20554094128575
78,-1.73%,,-0.003448,3.092B,,605.585M,Klaytn USD,0.195853,895853.0930170474,KLAY-USD,25.803M,78,25.803M,25.803M,0.0498350694901426,USD,424771616.0,3.43013698630137,0.13316184282302856,0.03357680805259453,0.002109022964983252,0.06317679039453614,15.920551179423107
79,-3.14%,,-0.0366,528.274M,,596.756M,Sui USD,1.1296,-70979866.22270246,SUI20947-USD,615.104M,79,615.104M,615.104M,-0.9582544020109769,USD,380951072.0,0.336986301369863,0.48113396763801575,-2.1928565484917213,-0.1863227890396971,0.04670288452213972,11.76912689957921
80,-1.11%,,-7e-06,990B,,588.407M,BitTorrent USD,0.000594,,BTTOLD-USD,191744,80,191744,191744,-0.17155147120283598,USD,194508368.0,4.589041095890411,0.00019647309090942144,,,,
81,-0.84%,,-1e-08,951.422T,,568.705M,BitTorrent(New) USD,6e-07,,BTT-USD,14.547M,81,14.547M,14.547M,-0.7860700665768716,USD,387423168.0,4.5917808219178085,4.070044212767243e-07,,,,
82,+0.25%,,0.002463,554.271M,,554.209M,Gemini Dollar USD,0.999887,-133381.997688301,GUSD-USD,738546,82,738546,738546,-0.0017940395820416066,USD,308257568.0,4.912328767123288,0.9866355657577515,-0.001239736989579217,-0.00043269658731720414,0.011369609497017985,2.8651415932485325
83,-0.18%,,-3.61,271263,,551.482M,PAX Gold USD,2033.01,7499609.731814908,PAXG-USD,13.765M,83,13.765M,13.765M,0.06142180524839125,USD,477827648.0,3.9397260273972603,1917.94921875,0.041154938175849254,0.015695219318524883,0.010405286056551234,2.622132086250911
84,-0.90%,,-0.00045,11.003B,,542.202M,Casper USD,0.049277,-22257751.04142432,CSPR-USD,12.173M,84,12.173M,12.173M,-0.7379416052239123,USD,405037344.0,2.3123287671232875,0.035866301506757736,-0.9245900154687416,-0.05495234296574965,0.06676708944291289,16.825306539614047
85,-1.48%,,-0.0314,259.119M,,541.087M,Synthetix USD,2.0882,4858664.350923727,SNX-USD,31.507M,85,31.507M,31.507M,0.29588882491559465,USD,535775424.0,5.476712328767123,1.987811803817749,0.17895231883178145,0.009068471850854673,0.07830737758374791,19.733459151104473
86,-1.09%,,-0.36,16.328M,,531.943M,Zcash USD,32.58,-7709586.617004522,ZEC-USD,25.814M,86,25.814M,25.814M,-0.33302535661276444,USD,405229088.0,5.8191780821917805,24.817638397216797,-0.27961868198488327,-0.019025254714697386,0.05832236997737912,14.69723723429954
87,+2.35%,,1.4,8.701M,,530.124M,GMX USD,60.93,2508389.2756968006,GMX11857-USD,32.524M,87,32.524M,32.524M,0.2596027626657329,USD,296947904.0,1.9698630136986301,33.01298522949219,0.15934436627308474,0.008447236844940993,0.07485511835278716,18.863489824902363
88,-1.35%,,-1e-06,5.884T,,526.97M,Terra Classic USD,9e-05,-11058484.538094057,LUNC-USD,79.453M,88,79.453M,79.453M,-0.9122714300119307,USD,347223520.0,4.1068493150684935,5.9854723076568916e-05,-1.6801203591966185,-0.03184831643344338,0.2093405563983033,52.75382021237243
89,+1.08%,,0.0,19.384T,,516.004M,eCash USD,2.7e-05,-930483.3771768264,XEC-USD,7.333M,89,7.333M,7.333M,-0.04867471618726771,USD,455007136.0,2.1561643835616437,2.3347865862888284e-05,-0.03445097589106428,-0.002044986338800687,0.0668514107874742,16.8465555184435
90,-3.56%,,-0.0604,314.844M,,515.534M,Optimism USD,1.6374,43417138.547739,OP-USD,108.934M,90,108.934M,108.934M,139.55263867213563,USD,1064587904.0,1.473972602739726,1.3332059383392334,3.41448406003318,0.0407830470218634,0.33223461487570577,83.72312294867785
91,-0.13%,,-2.69,246524,,499.481M,Tether Gold USD,2026.1,9112793.840878144,XAUT-USD,7.262M,91,7.262M,7.262M,0.059771234322835376,USD,479821920.0,3.5726027397260274,1946.3497314453125,0.04008047445265736,0.018992033212818088,0.008374537892494512,2.110383548908617
92,+0.45%,,0.0282,80.006M,,498.781M,Injective USD,6.2343,15714625.332386876,INJ-USD,95.212M,92,95.212M,95.212M,1.1337410418175327,USD,569675200.0,2.8684931506849316,6.7993855476379395,0.5232464460027207,0.027585236872496602,0.075271232772893,18.968350658769033
93,+1.20%,,0.006569,898.566M,,498.193M,Mina USD,0.554431,-14839344.239994945,MINA-USD,23.53M,93,23.53M,23.53M,-0.6156112036262928,USD,359730976.0,2.2575342465753425,0.37407246232032776,-0.6601024342775427,-0.0412512272504299,0.06350002845669675,16.00200717108758
94,-0.32%,,-0.000576,2.78B,,494.674M,IOTA USD,0.17797,-4089622.8917604503,MIOTA-USD,7.753M,94,7.753M,7.753M,-0.18352901644186737,USD,457369472.0,5.8191780821917805,0.1645410805940628,-0.13999042193902983,-0.008941617537080504,0.06212718728724362,15.656051196385391
95,-2.15%,,-0.1106,97.788M,,492.936M,GateToken USD,5.0409,7726203.969341746,GT-USD,1.577M,95,1.577M,1.577M,0.43608841598265324,USD,374435232.0,4.024657534246575,3.8973119258880615,0.24987563292271944,0.020634286811294898,0.04805448237604136,12.109729558762423
96,+1.07%,,0.0316,162.234M,,482.172M,Huobi Token USD,2.9721,1834404.2812814533,HT-USD,9.723M,96,9.723M,9.723M,0.09366630544025178,USD,382343840.0,5.583561643835616,2.3572702407836914,0.06181638363127152,0.004797786937750725,0.05112838749002569,12.884353647486474
